geoid,Tract,IncomePC,B19301001
14000US36061000100,1,,
14000US36061000201,2.01,15451,15451
14000US36061000202,2.02,32807,32807
14000US36061000500,5,,
14000US36061000600,6,20384,20384
14000US36061000700,7,123192,123192
14000US36061000800,8,26968,26968
14000US36061000900,9,137740,137740
14000US36061001001,10.01,67513,67513
14000US36061001002,10.02,15271,15271
14000US36061001200,12,60432,60432
14000US36061001300,13,123558,123558
14000US36061001401,14.01,73745,73745
14000US36061001402,14.02,51484,51484
14000US36061001501,15.01,80703,80703
14000US36061001502,15.02,105233,105233
14000US36061001600,16,45396,45396
14000US36061001800,18,43288,43288
14000US36061002000,20,21187,21187
14000US36061002100,21,177315,177315
14000US36061002201,22.01,27782,27782
14000US36061002202,22.02,69267,69267
14000US36061002400,24,11437,11437
14000US36061002500,25,15267,15267
14000US36061002601,26.01,29334,29334
14000US36061002602,26.02,73113,73113
14000US36061002700,27,52255,52255
14000US36061002800,28,68130,68130
14000US36061002901,29.01,2018,2018
14000US36061002902,29.02,28120,28120
14000US36061003001,30.01,68977,68977
14000US36061003002,30.02,63435,63435
14000US36061003100,31,73686,73686
14000US36061003200,32,76736,76736
14000US36061003300,33,208525,208525
14000US36061003400,34,64822,64822
14000US36061003601,36.01,50357,50357
14000US36061003602,36.02,80492,80492
14000US36061003700,37,236017,236017
14000US36061003800,38,80453,80453
14000US36061003900,39,216267,216267
14000US36061004001,40.01,83670,83670
14000US36061004002,40.02,91332,91332
14000US36061004100,41,65099,65099
14000US36061004200,42,67759,67759
14000US36061004300,43,122135,122135
14000US36061004400,44,82360,82360
14000US36061004500,45,100685,100685
14000US36061004700,47,124764,124764
14000US36061004800,48,90807,90807
14000US36061004900,49,150783,150783
14000US36061005000,50,146617,146617
14000US36061005200,52,134372,134372
14000US36061005400,54,152543,152543
14000US36061005501,55.01,92345,92345
14000US36061005502,55.02,130337,130337
14000US36061005600,56,170370,170370
14000US36061005700,57,145651,145651
14000US36061005800,58,186190,186190
14000US36061005900,59,124415,124415
14000US36061006000,60,124575,124575
14000US36061006100,61,165209,165209
14000US36061006200,62,43787,43787
14000US36061006300,63,145396,145396
14000US36061006400,64,90225,90225
14000US36061006500,65,81232,81232
14000US36061006600,66,90303,90303
14000US36061006700,67,123706,123706
14000US36061006800,68,100293,100293
14000US36061006900,69,168090,168090
14000US36061007001,70.01,82676,82676
14000US36061007002,70.02,86262,86262
14000US36061007100,71,139761,139761
14000US36061007200,72,129400,129400
14000US36061007300,73,139793,139793
14000US36061007400,74,147959,147959
14000US36061007500,75,125897,125897
14000US36061007600,76,105331,105331
14000US36061007700,77,142622,142622
14000US36061007800,78,102005,102005
14000US36061007900,79,146967,146967
14000US36061008000,80,131365,131365
14000US36061008100,81,127853,127853
14000US36061008200,82,138317,138317
14000US36061008300,83,75266,75266
14000US36061008400,84,157022,157022
14000US36061008601,86.01,112009,112009
14000US36061008602,86.02,,
14000US36061008603,86.03,173810,173810
14000US36061008700,87,133493,133493
14000US36061008800,88,102510,102510
14000US36061008900,89,100178,100178
14000US36061009000,90,130853,130853
14000US36061009100,91,140633,140633
14000US36061009200,92,133615,133615
14000US36061009300,93,81902,81902
14000US36061009400,94,86269,86269
14000US36061009500,95,107721,107721
14000US36061009600,96,162308,162308
14000US36061009700,97,61502,61502
14000US36061009800,98,120166,120166
14000US36061009901,99.01,243377,243377
14000US36061009902,99.02,136108,136108
14000US36061009903,99.03,101989,101989
14000US36061010000,100,102998,102998
14000US36061010100,101,97696,97696
14000US36061010200,102,83891,83891
14000US36061010300,103,105443,105443
14000US36061010400,104,153944,153944
14000US36061010601,106.01,229033,229033
14000US36061010602,106.02,114562,114562
14000US36061010801,108.01,131008,131008
14000US36061010802,108.02,101153,101153
14000US36061010803,108.03,183026,183026
14000US36061010900,109,82743,82743
14000US36061011000,110,109641,109641
14000US36061011100,111,92928,92928
14000US36061011201,112.01,180681,180681
14000US36061011202,112.02,260489,260489
14000US36061011203,112.03,158249,158249
14000US36061011300,113,38039,38039
14000US36061011401,114.01,285751,285751
14000US36061011402,114.02,182111,182111
14000US36061011500,115,102990,102990
14000US36061011600,116,78414,78414
14000US36061011700,117,113867,113867
14000US36061011800,118,145358,145358
14000US36061011900,119,21718,21718
14000US36061012000,120,175747,175747
14000US36061012101,121.01,55427,55427
14000US36061012102,121.02,54087,54087
14000US36061012200,122,190289,190289
14000US36061012400,124,94286,94286
14000US36061012500,125,160985,160985
14000US36061012601,126.01,95986,95986
14000US36061012602,126.02,145485,145485
14000US36061012700,127,102520,102520
14000US36061012800,128,146201,146201
14000US36061012901,129.01,87619,87619
14000US36061012902,129.02,80294,80294
14000US36061013000,130,182483,182483
14000US36061013100,131,103208,103208
14000US36061013201,132.01,66661,66661
14000US36061013202,132.02,65744,65744
14000US36061013203,132.03,72069,72069
14000US36061013300,133,110636,110636
14000US36061013400,134,119580,119580
14000US36061013501,135.01,68091,68091
14000US36061013502,135.02,97243,97243
14000US36061013601,136.01,165076,165076
14000US36061013602,136.02,120718,120718
14000US36061013603,136.03,95255,95255
14000US36061013604,136.04,112680,112680
14000US36061013700,137,194259,194259
14000US36061013800,138,114421,114421
14000US36061013900,139,92007,92007
14000US36061014000,140,209247,209247
14000US36061014200,142,189559,189559
14000US36061014300,143,,
14000US36061014401,144.01,150420,150420
14000US36061014402,144.02,105588,105588
14000US36061014500,145,147363,147363
14000US36061014601,146.01,114998,114998
14000US36061014602,146.02,100823,100823
14000US36061014700,147,131461,131461
14000US36061014801,148.01,130657,130657
14000US36061014802,148.02,116284,116284
14000US36061014900,149,131083,131083
14000US36061015001,150.01,156501,156501
14000US36061015002,150.02,184337,184337
14000US36061015101,151.01,17680,17680
14000US36061015102,151.02,123812,123812
14000US36061015200,152,87882,87882
14000US36061015301,153.01,128071,128071
14000US36061015302,153.02,131805,131805
14000US36061015401,154.01,139363,139363
14000US36061015402,154.02,76572,76572
14000US36061015403,154.03,73131,73131
14000US36061015501,155.01,172394,172394
14000US36061015502,155.02,111507,111507
14000US36061015601,156.01,74155,74155
14000US36061015602,156.02,82722,82722
14000US36061015700,157,133534,133534
14000US36061015801,158.01,127921,127921
14000US36061015802,158.02,58259,58259
14000US36061015900,159,123084,123084
14000US36061016001,160.01,258443,258443
14000US36061016002,160.02,93963,93963
14000US36061016100,161,127601,127601
14000US36061016200,162,27257,27257
14000US36061016300,163,143377,143377
14000US36061016400,164,23323,23323
14000US36061016500,165,141416,141416
14000US36061016600,166,40877,40877
14000US36061016700,167,150821,150821
14000US36061016800,168,33210,33210
14000US36061016900,169,133786,133786
14000US36061017000,170,27374,27374
14000US36061017100,171,136588,136588
14000US36061017200,172,26740,26740
14000US36061017300,173,118462,118462
14000US36061017401,174.01,43912,43912
14000US36061017402,174.02,45076,45076
14000US36061017500,175,130799,130799
14000US36061017700,177,97723,97723
14000US36061017800,178,38705,38705
14000US36061017900,179,126430,126430
14000US36061018000,180,31424,31424
14000US36061018100,181,120142,120142
14000US36061018200,182,22913,22913
14000US36061018300,183,101559,101559
14000US36061018400,184,28197,28197
14000US36061018500,185,94436,94436
14000US36061018600,186,21045,21045
14000US36061018700,187,93271,93271
14000US36061018800,188,37381,37381
14000US36061018900,189,29746,29746
14000US36061019000,190,61953,61953
14000US36061019100,191,106581,106581
14000US36061019200,192,13029,13029
14000US36061019300,193,51300,51300
14000US36061019400,194,22714,22714
14000US36061019500,195,84402,84402
14000US36061019600,196,27296,27296
14000US36061019701,197.01,52961,52961
14000US36061019702,197.02,47785,47785
14000US36061019800,198,72050,72050
14000US36061019900,199,62801,62801
14000US36061020000,200,56939,56939
14000US36061020101,201.01,48198,48198
14000US36061020102,201.02,58443,58443
14000US36061020300,203,18178,18178
14000US36061020500,205,61222,61222
14000US36061020600,206,31548,31548
14000US36061020701,207.01,44250,44250
14000US36061020800,208,59229,59229
14000US36061020901,209.01,19102,19102
14000US36061021000,210,27226,27226
14000US36061021100,211,49319,49319
14000US36061021200,212,51893,51893
14000US36061021303,213.03,33043,33043
14000US36061021400,214,51934,51934
14000US36061021500,215,37912,37912
14000US36061021600,216,40418,40418
14000US36061021703,217.03,,
14000US36061021800,218,47773,47773
14000US36061021900,219,13623,13623
14000US36061022000,220,60874,60874
14000US36061022102,221.02,72367,72367
14000US36061022200,222,48152,48152
14000US36061022301,223.01,33262,33262
14000US36061022302,223.02,26706,26706
14000US36061022400,224,24533,24533
14000US36061022500,225,35606,35606
14000US36061022600,226,37670,37670
14000US36061022700,227,42115,42115
14000US36061022800,228,59814,59814
14000US36061022900,229,26577,26577
14000US36061023000,230,29311,29311
14000US36061023100,231,39110,39110
14000US36061023200,232,18404,18404
14000US36061023300,233,38407,38407
14000US36061023400,234,40969,40969
14000US36061023501,235.01,35414,35414
14000US36061023502,235.02,33026,33026
14000US36061023600,236,27117,27117
14000US36061023700,237,26591,26591
14000US36061023802,238.02,42787,42787
14000US36061023803,238.03,74050,74050
14000US36061023804,238.04,108438,108438
14000US36061023900,239,27236,27236
14000US36061024000,240,7476,7476
14000US36061024100,241,34894,34894
14000US36061024200,242,19522,19522
14000US36061024301,243.01,34067,34067
14000US36061024302,243.02,16092,16092
14000US36061024500,245,26104,26104
14000US36061024700,247,45397,45397
14000US36061024900,249,41485,41485
14000US36061025100,251,17965,17965
14000US36061025300,253,26308,26308
14000US36061025500,255,92339,92339
14000US36061025700,257,56745,56745
14000US36061025900,259,52827,52827
14000US36061026100,261,19908,19908
14000US36061026300,263,25084,25084
14000US36061026500,265,39286,39286
14000US36061026700,267,27799,27799
14000US36061026900,269,22036,22036
14000US36061027100,271,31947,31947
14000US36061027300,273,59485,59485
14000US36061027500,275,202961,202961
14000US36061027700,277,19362,19362
14000US36061027900,279,32734,32734
14000US36061028100,281,68217,68217
14000US36061028300,283,29127,29127
14000US36061028500,285,22055,22055
14000US36061028700,287,32303,32303
14000US36061029100,291,27972,27972
14000US36061029300,293,22184,22184
14000US36061029500,295,41256,41256
14000US36061029700,297,1924,1924
14000US36061029900,299,19646,19646
14000US36061030300,303,43890,43890
14000US36061030700,307,60160,60160
14000US36061030900,309,19336,19336
14000US36061031100,311,,
14000US36061031703,317.03,180412,180412
14000US36061031704,317.04,140856,140856
14000US36061031900,319,,
16000US3651000,,43952,43952