geoid,name,B19301001,"B19301001, Error"
14000US36061000100,"Census Tract 1, New York, NY",,
14000US36061000201,"Census Tract 2.01, New York, NY",15451,9060
14000US36061000202,"Census Tract 2.02, New York, NY",32807,4985
14000US36061000500,"Census Tract 5, New York, NY",,
14000US36061000600,"Census Tract 6, New York, NY",20384,3307
14000US36061000700,"Census Tract 7, New York, NY",123192,13473
14000US36061000800,"Census Tract 8, New York, NY",26968,5658
14000US36061000900,"Census Tract 9, New York, NY",137740,17613
14000US36061001001,"Census Tract 10.01, New York, NY",67513,10777
14000US36061001002,"Census Tract 10.02, New York, NY",15271,2606
14000US36061001200,"Census Tract 12, New York, NY",60432,11043
14000US36061001300,"Census Tract 13, New York, NY",123558,18770
14000US36061001401,"Census Tract 14.01, New York, NY",73745,12053
14000US36061001402,"Census Tract 14.02, New York, NY",51484,11342
14000US36061001501,"Census Tract 15.01, New York, NY",80703,11910
14000US36061001502,"Census Tract 15.02, New York, NY",105233,13681
14000US36061001600,"Census Tract 16, New York, NY",45396,7201
14000US36061001800,"Census Tract 18, New York, NY",43288,7021
14000US36061002000,"Census Tract 20, New York, NY",21187,9226
14000US36061002100,"Census Tract 21, New York, NY",177315,22796
14000US36061002201,"Census Tract 22.01, New York, NY",27782,5024
14000US36061002202,"Census Tract 22.02, New York, NY",69267,22739
14000US36061002400,"Census Tract 24, New York, NY",11437,2489
14000US36061002500,"Census Tract 25, New York, NY",15267,3347
14000US36061002601,"Census Tract 26.01, New York, NY",29334,5784
14000US36061002602,"Census Tract 26.02, New York, NY",73113,15437
14000US36061002700,"Census Tract 27, New York, NY",52255,10456
14000US36061002800,"Census Tract 28, New York, NY",68130,21190
14000US36061002901,"Census Tract 29.01, New York, NY",2018,972
14000US36061002902,"Census Tract 29.02, New York, NY",28120,6446
14000US36061003001,"Census Tract 30.01, New York, NY",68977,15776
14000US36061003002,"Census Tract 30.02, New York, NY",63435,10953
14000US36061003100,"Census Tract 31, New York, NY",73686,11914
14000US36061003200,"Census Tract 32, New York, NY",76736,9911
14000US36061003300,"Census Tract 33, New York, NY",208525,46107
14000US36061003400,"Census Tract 34, New York, NY",64822,13604
14000US36061003601,"Census Tract 36.01, New York, NY",50357,9962
14000US36061003602,"Census Tract 36.02, New York, NY",80492,13412
14000US36061003700,"Census Tract 37, New York, NY",236017,109381
14000US36061003800,"Census Tract 38, New York, NY",80453,21091
14000US36061003900,"Census Tract 39, New York, NY",216267,109369
14000US36061004001,"Census Tract 40.01, New York, NY",83670,18395
14000US36061004002,"Census Tract 40.02, New York, NY",91332,30356
14000US36061004100,"Census Tract 41, New York, NY",65099,12077
14000US36061004200,"Census Tract 42, New York, NY",67759,12430
14000US36061004300,"Census Tract 43, New York, NY",122135,41454
14000US36061004400,"Census Tract 44, New York, NY",82360,10320
14000US36061004500,"Census Tract 45, New York, NY",100685,28162
14000US36061004700,"Census Tract 47, New York, NY",124764,24848
14000US36061004800,"Census Tract 48, New York, NY",90807,14400
14000US36061004900,"Census Tract 49, New York, NY",150783,36297
14000US36061005000,"Census Tract 50, New York, NY",146617,37961
14000US36061005200,"Census Tract 52, New York, NY",134372,34422
14000US36061005400,"Census Tract 54, New York, NY",152543,29635
14000US36061005501,"Census Tract 55.01, New York, NY",92345,16650
14000US36061005502,"Census Tract 55.02, New York, NY",130337,23062
14000US36061005600,"Census Tract 56, New York, NY",170370,50069
14000US36061005700,"Census Tract 57, New York, NY",145651,28840
14000US36061005800,"Census Tract 58, New York, NY",186190,55555
14000US36061005900,"Census Tract 59, New York, NY",124415,22737
14000US36061006000,"Census Tract 60, New York, NY",124575,19780
14000US36061006100,"Census Tract 61, New York, NY",165209,61052
14000US36061006200,"Census Tract 62, New York, NY",43787,6968
14000US36061006300,"Census Tract 63, New York, NY",145396,21843
14000US36061006400,"Census Tract 64, New York, NY",90225,15393
14000US36061006500,"Census Tract 65, New York, NY",81232,11149
14000US36061006600,"Census Tract 66, New York, NY",90303,22735
14000US36061006700,"Census Tract 67, New York, NY",123706,15318
14000US36061006800,"Census Tract 68, New York, NY",100293,20036
14000US36061006900,"Census Tract 69, New York, NY",168090,30843
14000US36061007001,"Census Tract 70.01, New York, NY",82676,11271
14000US36061007002,"Census Tract 70.02, New York, NY",86262,15104
14000US36061007100,"Census Tract 71, New York, NY",139761,16684
14000US36061007200,"Census Tract 72, New York, NY",129400,23137
14000US36061007300,"Census Tract 73, New York, NY",139793,29269
14000US36061007400,"Census Tract 74, New York, NY",147959,30596
14000US36061007500,"Census Tract 75, New York, NY",125897,26588
14000US36061007600,"Census Tract 76, New York, NY",105331,34518
14000US36061007700,"Census Tract 77, New York, NY",142622,24072
14000US36061007800,"Census Tract 78, New York, NY",102005,13734
14000US36061007900,"Census Tract 79, New York, NY",146967,34878
14000US36061008000,"Census Tract 80, New York, NY",131365,25627
14000US36061008100,"Census Tract 81, New York, NY",127853,18491
14000US36061008200,"Census Tract 82, New York, NY",138317,32079
14000US36061008300,"Census Tract 83, New York, NY",75266,25916
14000US36061008400,"Census Tract 84, New York, NY",157022,41958
14000US36061008601,"Census Tract 86.01, New York, NY",112009,22405
14000US36061008602,"Census Tract 86.02, New York, NY",,
14000US36061008603,"Census Tract 86.03, New York, NY",173810,25644
14000US36061008700,"Census Tract 87, New York, NY",133493,22208
14000US36061008800,"Census Tract 88, New York, NY",102510,12269
14000US36061008900,"Census Tract 89, New York, NY",100178,15619
14000US36061009000,"Census Tract 90, New York, NY",130853,19526
14000US36061009100,"Census Tract 91, New York, NY",140633,21446
14000US36061009200,"Census Tract 92, New York, NY",133615,24266
14000US36061009300,"Census Tract 93, New York, NY",81902,13821
14000US36061009400,"Census Tract 94, New York, NY",86269,49410
14000US36061009500,"Census Tract 95, New York, NY",107721,27594
14000US36061009600,"Census Tract 96, New York, NY",162308,80147
14000US36061009700,"Census Tract 97, New York, NY",61502,12924
14000US36061009800,"Census Tract 98, New York, NY",120166,33504
14000US36061009901,"Census Tract 99.01, New York, NY",243377,52901
14000US36061009902,"Census Tract 99.02, New York, NY",136108,53586
14000US36061009903,"Census Tract 99.03, New York, NY",101989,24133
14000US36061010000,"Census Tract 100, New York, NY",102998,23151
14000US36061010100,"Census Tract 101, New York, NY",97696,31015
14000US36061010200,"Census Tract 102, New York, NY",83891,25540
14000US36061010300,"Census Tract 103, New York, NY",105443,23303
14000US36061010400,"Census Tract 104, New York, NY",153944,37869
14000US36061010601,"Census Tract 106.01, New York, NY",229033,38827
14000US36061010602,"Census Tract 106.02, New York, NY",114562,19806
14000US36061010801,"Census Tract 108.01, New York, NY",131008,38922
14000US36061010802,"Census Tract 108.02, New York, NY",101153,26595
14000US36061010803,"Census Tract 108.03, New York, NY",183026,59465
14000US36061010900,"Census Tract 109, New York, NY",82743,24742
14000US36061011000,"Census Tract 110, New York, NY",109641,17738
14000US36061011100,"Census Tract 111, New York, NY",92928,17655
14000US36061011201,"Census Tract 112.01, New York, NY",180681,31676
14000US36061011202,"Census Tract 112.02, New York, NY",260489,64357
14000US36061011203,"Census Tract 112.03, New York, NY",158249,30608
14000US36061011300,"Census Tract 113, New York, NY",38039,16405
14000US36061011401,"Census Tract 114.01, New York, NY",285751,71837
14000US36061011402,"Census Tract 114.02, New York, NY",182111,37416
14000US36061011500,"Census Tract 115, New York, NY",102990,21275
14000US36061011600,"Census Tract 116, New York, NY",78414,17648
14000US36061011700,"Census Tract 117, New York, NY",113867,12113
14000US36061011800,"Census Tract 118, New York, NY",145358,19791
14000US36061011900,"Census Tract 119, New York, NY",21718,3672
14000US36061012000,"Census Tract 120, New York, NY",175747,37719
14000US36061012101,"Census Tract 121.01, New York, NY",55427,11125
14000US36061012102,"Census Tract 121.02, New York, NY",54087,9013
14000US36061012200,"Census Tract 122, New York, NY",190289,54160
14000US36061012400,"Census Tract 124, New York, NY",94286,14248
14000US36061012500,"Census Tract 125, New York, NY",160985,40998
14000US36061012601,"Census Tract 126.01, New York, NY",95986,28725
14000US36061012602,"Census Tract 126.02, New York, NY",145485,38055
14000US36061012700,"Census Tract 127, New York, NY",102520,16722
14000US36061012800,"Census Tract 128, New York, NY",146201,28765
14000US36061012901,"Census Tract 129.01, New York, NY",87619,16250
14000US36061012902,"Census Tract 129.02, New York, NY",80294,35096
14000US36061013000,"Census Tract 130, New York, NY",182483,40270
14000US36061013100,"Census Tract 131, New York, NY",103208,21676
14000US36061013201,"Census Tract 132.01, New York, NY",66661,23425
14000US36061013202,"Census Tract 132.02, New York, NY",65744,19180
14000US36061013203,"Census Tract 132.03, New York, NY",72069,30336
14000US36061013300,"Census Tract 133, New York, NY",110636,21687
14000US36061013400,"Census Tract 134, New York, NY",119580,25214
14000US36061013501,"Census Tract 135.01, New York, NY",68091,21350
14000US36061013502,"Census Tract 135.02, New York, NY",97243,39887
14000US36061013601,"Census Tract 136.01, New York, NY",165076,65203
14000US36061013602,"Census Tract 136.02, New York, NY",120718,19842
14000US36061013603,"Census Tract 136.03, New York, NY",95255,17998
14000US36061013604,"Census Tract 136.04, New York, NY",112680,38708
14000US36061013700,"Census Tract 137, New York, NY",194259,53271
14000US36061013800,"Census Tract 138, New York, NY",114421,18060
14000US36061013900,"Census Tract 139, New York, NY",92007,14908
14000US36061014000,"Census Tract 140, New York, NY",209247,65575
14000US36061014200,"Census Tract 142, New York, NY",189559,52206
14000US36061014300,"Census Tract 143, New York, NY",,
14000US36061014401,"Census Tract 144.01, New York, NY",150420,29260
14000US36061014402,"Census Tract 144.02, New York, NY",105588,15343
14000US36061014500,"Census Tract 145, New York, NY",147363,27568
14000US36061014601,"Census Tract 146.01, New York, NY",114998,19295
14000US36061014602,"Census Tract 146.02, New York, NY",100823,11829
14000US36061014700,"Census Tract 147, New York, NY",131461,24386
14000US36061014801,"Census Tract 148.01, New York, NY",130657,22855
14000US36061014802,"Census Tract 148.02, New York, NY",116284,29030
14000US36061014900,"Census Tract 149, New York, NY",131083,22339
14000US36061015001,"Census Tract 150.01, New York, NY",156501,36100
14000US36061015002,"Census Tract 150.02, New York, NY",184337,22845
14000US36061015101,"Census Tract 151.01, New York, NY",17680,5529
14000US36061015102,"Census Tract 151.02, New York, NY",123812,37758
14000US36061015200,"Census Tract 152, New York, NY",87882,14692
14000US36061015301,"Census Tract 153.01, New York, NY",128071,24138
14000US36061015302,"Census Tract 153.02, New York, NY",131805,29144
14000US36061015401,"Census Tract 154.01, New York, NY",139363,83179
14000US36061015402,"Census Tract 154.02, New York, NY",76572,22164
14000US36061015403,"Census Tract 154.03, New York, NY",73131,19910
14000US36061015501,"Census Tract 155.01, New York, NY",172394,64468
14000US36061015502,"Census Tract 155.02, New York, NY",111507,33630
14000US36061015601,"Census Tract 156.01, New York, NY",74155,9108
14000US36061015602,"Census Tract 156.02, New York, NY",82722,24504
14000US36061015700,"Census Tract 157, New York, NY",133534,30973
14000US36061015801,"Census Tract 158.01, New York, NY",127921,24495
14000US36061015802,"Census Tract 158.02, New York, NY",58259,9238
14000US36061015900,"Census Tract 159, New York, NY",123084,21385
14000US36061016001,"Census Tract 160.01, New York, NY",258443,43535
14000US36061016002,"Census Tract 160.02, New York, NY",93963,25719
14000US36061016100,"Census Tract 161, New York, NY",127601,18728
14000US36061016200,"Census Tract 162, New York, NY",27257,4174
14000US36061016300,"Census Tract 163, New York, NY",143377,40594
14000US36061016400,"Census Tract 164, New York, NY",23323,4990
14000US36061016500,"Census Tract 165, New York, NY",141416,26520
14000US36061016600,"Census Tract 166, New York, NY",40877,9375
14000US36061016700,"Census Tract 167, New York, NY",150821,16731
14000US36061016800,"Census Tract 168, New York, NY",33210,9277
14000US36061016900,"Census Tract 169, New York, NY",133786,25772
14000US36061017000,"Census Tract 170, New York, NY",27374,4154
14000US36061017100,"Census Tract 171, New York, NY",136588,31242
14000US36061017200,"Census Tract 172, New York, NY",26740,5289
14000US36061017300,"Census Tract 173, New York, NY",118462,21017
14000US36061017401,"Census Tract 174.01, New York, NY",43912,13612
14000US36061017402,"Census Tract 174.02, New York, NY",45076,9796
14000US36061017500,"Census Tract 175, New York, NY",130799,27266
14000US36061017700,"Census Tract 177, New York, NY",97723,28237
14000US36061017800,"Census Tract 178, New York, NY",38705,7558
14000US36061017900,"Census Tract 179, New York, NY",126430,19862
14000US36061018000,"Census Tract 180, New York, NY",31424,8937
14000US36061018100,"Census Tract 181, New York, NY",120142,29974
14000US36061018200,"Census Tract 182, New York, NY",22913,4623
14000US36061018300,"Census Tract 183, New York, NY",101559,20532
14000US36061018400,"Census Tract 184, New York, NY",28197,4509
14000US36061018500,"Census Tract 185, New York, NY",94436,9053
14000US36061018600,"Census Tract 186, New York, NY",21045,4809
14000US36061018700,"Census Tract 187, New York, NY",93271,15940
14000US36061018800,"Census Tract 188, New York, NY",37381,9906
14000US36061018900,"Census Tract 189, New York, NY",29746,6898
14000US36061019000,"Census Tract 190, New York, NY",61953,8736
14000US36061019100,"Census Tract 191, New York, NY",106581,18614
14000US36061019200,"Census Tract 192, New York, NY",13029,2783
14000US36061019300,"Census Tract 193, New York, NY",51300,8025
14000US36061019400,"Census Tract 194, New York, NY",22714,4395
14000US36061019500,"Census Tract 195, New York, NY",84402,16372
14000US36061019600,"Census Tract 196, New York, NY",27296,7720
14000US36061019701,"Census Tract 197.01, New York, NY",52961,13675
14000US36061019702,"Census Tract 197.02, New York, NY",47785,9379
14000US36061019800,"Census Tract 198, New York, NY",72050,22009
14000US36061019900,"Census Tract 199, New York, NY",62801,14931
14000US36061020000,"Census Tract 200, New York, NY",56939,14442
14000US36061020101,"Census Tract 201.01, New York, NY",48198,15819
14000US36061020102,"Census Tract 201.02, New York, NY",58443,11836
14000US36061020300,"Census Tract 203, New York, NY",18178,5233
14000US36061020500,"Census Tract 205, New York, NY",61222,8806
14000US36061020600,"Census Tract 206, New York, NY",31548,5380
14000US36061020701,"Census Tract 207.01, New York, NY",44250,6018
14000US36061020800,"Census Tract 208, New York, NY",59229,11950
14000US36061020901,"Census Tract 209.01, New York, NY",19102,5720
14000US36061021000,"Census Tract 210, New York, NY",27226,3651
14000US36061021100,"Census Tract 211, New York, NY",49319,12025
14000US36061021200,"Census Tract 212, New York, NY",51893,7237
14000US36061021303,"Census Tract 213.03, New York, NY",33043,8634
14000US36061021400,"Census Tract 214, New York, NY",51934,12340
14000US36061021500,"Census Tract 215, New York, NY",37912,8603
14000US36061021600,"Census Tract 216, New York, NY",40418,6104
14000US36061021703,"Census Tract 217.03, New York, NY",,
14000US36061021800,"Census Tract 218, New York, NY",47773,7911
14000US36061021900,"Census Tract 219, New York, NY",13623,3908
14000US36061022000,"Census Tract 220, New York, NY",60874,11762
14000US36061022102,"Census Tract 221.02, New York, NY",72367,17825
14000US36061022200,"Census Tract 222, New York, NY",48152,12103
14000US36061022301,"Census Tract 223.01, New York, NY",33262,5204
14000US36061022302,"Census Tract 223.02, New York, NY",26706,5139
14000US36061022400,"Census Tract 224, New York, NY",24533,4809
14000US36061022500,"Census Tract 225, New York, NY",35606,6866
14000US36061022600,"Census Tract 226, New York, NY",37670,6598
14000US36061022700,"Census Tract 227, New York, NY",42115,8881
14000US36061022800,"Census Tract 228, New York, NY",59814,12642
14000US36061022900,"Census Tract 229, New York, NY",26577,5620
14000US36061023000,"Census Tract 230, New York, NY",29311,5858
14000US36061023100,"Census Tract 231, New York, NY",39110,6982
14000US36061023200,"Census Tract 232, New York, NY",18404,3502
14000US36061023300,"Census Tract 233, New York, NY",38407,6383
14000US36061023400,"Census Tract 234, New York, NY",40969,8936
14000US36061023501,"Census Tract 235.01, New York, NY",35414,5197
14000US36061023502,"Census Tract 235.02, New York, NY",33026,8855
14000US36061023600,"Census Tract 236, New York, NY",27117,5278
14000US36061023700,"Census Tract 237, New York, NY",26591,4298
14000US36061023802,"Census Tract 238.02, New York, NY",42787,5899
14000US36061023803,"Census Tract 238.03, New York, NY",74050,16542
14000US36061023804,"Census Tract 238.04, New York, NY",108438,19074
14000US36061023900,"Census Tract 239, New York, NY",27236,5665
14000US36061024000,"Census Tract 240, New York, NY",7476,1473
14000US36061024100,"Census Tract 241, New York, NY",34894,5262
14000US36061024200,"Census Tract 242, New York, NY",19522,3826
14000US36061024301,"Census Tract 243.01, New York, NY",34067,7241
14000US36061024302,"Census Tract 243.02, New York, NY",16092,2368
14000US36061024500,"Census Tract 245, New York, NY",26104,3364
14000US36061024700,"Census Tract 247, New York, NY",45397,9031
14000US36061024900,"Census Tract 249, New York, NY",41485,7258
14000US36061025100,"Census Tract 251, New York, NY",17965,2733
14000US36061025300,"Census Tract 253, New York, NY",26308,2919
14000US36061025500,"Census Tract 255, New York, NY",92339,77000
14000US36061025700,"Census Tract 257, New York, NY",56745,8581
14000US36061025900,"Census Tract 259, New York, NY",52827,7396
14000US36061026100,"Census Tract 261, New York, NY",19908,1549
14000US36061026300,"Census Tract 263, New York, NY",25084,3756
14000US36061026500,"Census Tract 265, New York, NY",39286,4882
14000US36061026700,"Census Tract 267, New York, NY",27799,10649
14000US36061026900,"Census Tract 269, New York, NY",22036,2941
14000US36061027100,"Census Tract 271, New York, NY",31947,4070
14000US36061027300,"Census Tract 273, New York, NY",59485,9203
14000US36061027500,"Census Tract 275, New York, NY",202961,169108
14000US36061027700,"Census Tract 277, New York, NY",19362,4876
14000US36061027900,"Census Tract 279, New York, NY",32734,5890
14000US36061028100,"Census Tract 281, New York, NY",68217,10057
14000US36061028300,"Census Tract 283, New York, NY",29127,3255
14000US36061028500,"Census Tract 285, New York, NY",22055,3028
14000US36061028700,"Census Tract 287, New York, NY",32303,3719
14000US36061029100,"Census Tract 291, New York, NY",27972,4819
14000US36061029300,"Census Tract 293, New York, NY",22184,5171
14000US36061029500,"Census Tract 295, New York, NY",41256,4025
14000US36061029700,"Census Tract 297, New York, NY",1924,3391
14000US36061029900,"Census Tract 299, New York, NY",19646,3231
14000US36061030300,"Census Tract 303, New York, NY",43890,6935
14000US36061030700,"Census Tract 307, New York, NY",60160,6307
14000US36061030900,"Census Tract 309, New York, NY",19336,2647
14000US36061031100,"Census Tract 311, New York, NY",,
14000US36061031703,"Census Tract 317.03, New York, NY",180412,38754
14000US36061031704,"Census Tract 317.04, New York, NY",140856,20585
14000US36061031900,"Census Tract 319, New York, NY",,
16000US3651000,"New York, NY",43952,326