Neighborhood,Median of IncomePC,Max Rent,AVG rent
Chelsea-Hudson Yards,116503,2913,4243
Chinatown-Two Bridges,29120,728,2100
East Harlem (North),31000,775,1997
East Harlem (South),45701,1143,1997
East Midtown-Turtle Bay,146391,3660,3350
East Village,62941,1574,2800
Financial District-Battery Park City,127385,3185,4094
Gramercy,106986,2675,3378
Greenwich Village,126369,3159,3700
Hamilton Heights-Sugar Hill,34831,871,1962
Harlem (North),40873,1022,1962
Harlem (South),50013,1250,2110
Hell's Kitchen,85091,2127,3397
Inwood,35851,896,1777
Lower East Side,49166,1229,2782
Manhattanville-West Harlem,26659,666,1962
Midtown South-Flatiron-Union Square,137773,3444,4300
Midtown-Times Square,130277,3257,3700
Morningside Heights,44504,1113,2900
Murray Hill-Kips Bay,97813,2445,3350
SoHo-Little Italy-Hudson Square,133247,3331,3499
Stuyvesant Town-Peter Cooper Village,103468,2587,3550
Tribeca-Civic Center,135562,3389,4962
Upper East Side-Carnegie Hill,181109,4528,2538
Upper East Side-Lenox Hill-Roosevelt Island,95219,2380,3244
Upper East Side-Yorkville,109363,2734,2538
Upper West Side (Central),127392,3185,2925
Upper West Side-Lincoln Square,122890,3072,2925
Upper West Side-Manhattan Valley,76623,1916,2900
Washington Heights (North),48943,1224,1845
Washington Heights (South),35526,888,1845
West Village,140977,3524,3775
Grand Total,96516,2413,2912.5